City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Anloga,GH,77.29,overcast clouds,5.7947,0.8973,Pin Drop Hotel
312,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
314,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
315,Teruel,ES,81.88,clear sky,40.6667,-0.6667,La Parra
316,Sumenep,ID,79.5,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
320,Constantine,DZ,85.93,clear sky,36.365,6.6147,Grand Hotel Cirta
321,Richards Bay,ZA,71.83,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
322,Tayu,ID,79.11,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
323,The Valley,AI,84.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
324,Ocu,JP,77.79,scattered clouds,35.0044,135.8683,Toyoko INN Otsu Biwako Kyoto
325,Tiarei,PF,75.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
327,Teguldet,RU,61.5,light rain,57.3064,88.1667,
328,Nsanje,MW,78.85,few clouds,-16.92,35.262,Nsanje Discovery Lodge
329,Nabire,ID,77.31,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
330,Jutai,BR,72.91,broken clouds,-5.1833,-68.9,
331,Itacarambi,BR,77.05,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
332,Axim,GH,80.71,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
333,Phangnga,TH,84.24,scattered clouds,8.4509,98.5298,Sunimit Mansion
334,Nouakchott,MR,80.53,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
335,Luena,AO,79.5,broken clouds,-11.7833,19.9167,Hotel Kandamba
336,Dodge City,US,74.71,scattered clouds,37.7528,-100.0171,Windsor Inn & Suites
337,Carutapera,BR,82.69,clear sky,-1.195,-46.02,Lidera
340,Bousso,TD,85.55,moderate rain,10.4795,16.7117,
342,Cayenne,GF,80.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
343,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
344,Dabakala,CI,73.85,light rain,8.3667,-4.4333,Hôtel Campement
345,Seoul,KR,80.08,broken clouds,37.5683,126.9778,롯데호텔 서울
346,Aboisso,CI,80.6,light rain,5.4678,-3.2071,Residence Belle Vue
347,Uong Bi,VN,87.78,overcast clouds,21.0333,106.7833,khach san Trung lien
348,Sioux Lookout,CA,67.12,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
350,Gouyave,GD,80.04,clear sky,12.1646,-61.7296,Rumboat Retreat
351,Sibolga,ID,77.38,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
353,Porbandar,IN,86.02,broken clouds,21.6422,69.6093,Lords Inn Porbandar
354,Guerrero Negro,MX,66.38,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
355,Prizren,XK,74.84,light rain,42.2139,20.7397,Hotel Butro
356,Hofn,IS,60.82,clear sky,64.2539,-15.2082,Hótel Höfn
357,Sindgi,IN,84.2,overcast clouds,16.9167,76.2333,Swaranambika nilaya
358,Byron Bay,AU,62.06,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
359,Mpika,ZM,65.43,broken clouds,-11.8343,31.4529,Melodies Lodge
360,Klyuchi,RU,73.85,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
361,Katobu,ID,73.4,moderate rain,-4.9408,122.5276,La Ode Husein
364,Mutis,CO,76.73,moderate rain,6.2262,-77.4044,Paraiso Escondido
365,Madimba,TZ,81.25,scattered clouds,-10.4,40.3333,
366,Alto Piquiri,BR,61.2,scattered clouds,-24.0281,-53.4406,Hotel Frison
367,Shestakovo,RU,77.65,overcast clouds,56.4915,103.96,
368,San Antonio,US,78.55,overcast clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
369,Iwaki,JP,80.24,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
370,Hambantota,LK,83.8,overcast clouds,6.1241,81.1185,Bungalow 63
373,Saint-Pierre,RE,75.29,light rain,-21.3393,55.4781,Lindsey Hôtel
374,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
377,Maddur,IN,80.24,overcast clouds,12.6,77.0667,Hotel Thimmadas Residency
380,Aguimes,ES,77.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
381,Kota Tinggi,MY,86.29,broken clouds,1.7381,103.8999,Canopy Tribe
382,Tomatlan,MX,73.99,overcast clouds,19.9333,-105.25,El Salvial
383,Soe,ID,61.88,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
384,Stornoway,GB,62.92,light intensity drizzle,58.2093,-6.3865,Caladh Inn
385,Bintulu,MY,80.28,overcast clouds,3.1667,113.0333,900 Boutique INN
386,Corner Brook,CA,68.16,overcast clouds,48.9667,-57.9484,Glynmill Inn
