City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Bay Roberts,CA,2021-04-11 20:48:28,47.5999,-53.2648,37.4,87,75,6.91
238,Bolitoc,PH,2021-04-11 20:48:29,15.7395,119.8769,77.83,72,62,3.74
239,Santa Lucia,ES,2021-04-11 20:43:44,27.9117,-15.5407,68.0,77,20,16.11
240,Pauini,BR,2021-04-11 20:48:29,-7.7136,-66.9764,77.2,93,100,2.93
241,Boyolangu,ID,2021-04-11 20:48:29,-8.1181,111.8935,75.0,88,87,0.92
242,Adrar,MR,2021-04-11 20:48:30,20.5022,-10.0711,82.17,16,28,12.21
243,Rodrigues Alves,BR,2021-04-11 20:48:30,-7.738,-72.6509,91.4,58,40,2.3
244,Grand Gaube,MU,2021-04-11 20:48:31,-20.0064,57.6608,79.0,81,99,1.99
245,Waipawa,NZ,2021-04-11 20:48:31,-41.4122,175.5153,63.0,82,38,11.5
246,Odweyne,SO,2021-04-11 20:48:31,9.4092,45.064,75.72,32,12,7.72
247,Churapcha,RU,2021-04-11 20:48:32,62.0025,132.4325,0.55,99,100,1.16
248,Kudymkar,RU,2021-04-11 20:46:23,59.0173,54.656,32.16,93,91,5.17
249,Miri,MY,2021-04-11 20:48:32,4.4148,114.0089,77.0,94,40,2.3
250,Mount Gambier,AU,2021-04-11 20:48:32,-37.8333,140.7667,51.8,82,90,4.61
251,Jamestown,US,2021-04-11 20:46:26,42.097,-79.2353,62.6,55,90,5.75
252,Fort Frances,CA,2021-04-11 20:48:11,48.5999,-93.4003,44.01,87,90,9.22
253,Zabaykalsk,RU,2021-04-11 20:48:33,49.6333,117.3167,24.44,39,92,9.44
254,Neuquen,AR,2021-04-11 20:48:33,-38.9516,-68.0591,77.0,33,0,5.75
255,Tankara,IN,2021-04-11 20:48:34,22.6667,70.7333,79.47,60,0,11.81
256,Omboue,GA,2021-04-11 20:48:34,-1.5746,9.2618,77.67,86,100,3.85
257,Kharp,RU,2021-04-11 20:48:34,66.8014,65.8081,31.14,85,90,15.17
258,Carupano,VE,2021-04-11 20:48:35,10.6678,-63.2585,79.27,85,100,10.42
259,Tilichiki,RU,2021-04-11 20:48:35,60.4667,166.1,10.36,67,75,17.94
260,Misratah,LY,2021-04-11 20:48:15,32.3754,15.0925,63.55,63,30,24.43
261,Turan,VN,2021-04-11 20:44:36,16.0678,108.2208,73.4,94,20,1.14
262,Maragogi,BR,2021-04-11 20:48:36,-9.0122,-35.2225,77.16,87,100,9.4
263,Taiyuan,CN,2021-04-11 20:48:36,37.8694,112.5603,50.0,66,98,2.82
264,Kahului,US,2021-04-11 20:48:37,20.8947,-156.47,77.0,65,40,5.75
265,Warrington,GB,2021-04-11 20:48:37,53.3925,-2.5802,37.99,76,9,4.65
266,Asau,RO,2021-04-11 20:45:53,46.4333,26.4,42.01,45,0,3.49
267,Elliot,ZA,2021-04-11 20:48:37,-31.3333,27.85,62.33,69,93,2.48
268,Westport,US,2021-04-11 20:48:16,41.1415,-73.3579,51.01,93,90,14.97
269,Haradok,BY,2021-04-11 20:48:38,55.4624,29.9816,46.53,79,97,6.6
270,Comodoro Rivadavia,AR,2021-04-11 20:48:38,-45.8667,-67.5,73.4,43,75,18.41
271,Kourou,GF,2021-04-11 20:48:39,5.1552,-52.6478,86.0,70,0,6.91
272,Kommunisticheskiy,RU,2021-04-11 20:48:39,61.6789,64.4819,34.5,89,6,8.99
273,Kaeo,NZ,2021-04-11 20:48:39,-35.1,173.7833,64.99,97,85,1.99
274,Batagay-Alyta,RU,2021-04-11 20:48:40,67.8006,130.4114,-15.65,74,8,5.41
275,Codrington,AU,2021-04-11 20:48:25,-38.2667,141.9667,54.5,74,93,8.93
276,Zaqatala,AZ,2021-04-11 20:48:40,41.6336,46.6433,57.2,82,75,6.91
277,Slave Lake,CA,2021-04-11 20:46:36,55.2834,-114.769,32.0,69,1,5.75
278,Namatanai,PG,2021-04-11 20:46:24,-3.6667,152.4333,78.04,85,100,6.2
279,Isangel,VU,2021-04-11 20:45:27,-19.55,169.2667,79.3,84,91,9.98
280,Thinadhoo,MV,2021-04-11 20:48:41,0.5333,72.9333,82.74,69,48,9.95
281,Fortuna,US,2021-04-11 20:48:41,40.5982,-124.1573,57.99,62,1,16.11
